Date,london_price_Detached,london_price_Semi Detached,london_price_Terraced,london_price_Flat,london_index_Detached,london_index_Semi Detached,london_index_Terraced,london_index_Flat,uk_price_Detached,uk_price_Semi Detached,uk_price_Terraced,uk_price_Flat,uk_index_Detached,uk_index_Semi Detached,uk_index_Terraced,uk_index_Flat
7/1/1998,223821,133832,103116,91489,30.1,28.4,25.2,25.3,-,-,-,-,-,-,-,-
8/1/1998,226677,133532,102886,91022,30.5,28.3,25.2,25.2,-,-,-,-,-,-,-,-
9/1/1998,226350,134219,103312,91626,30.4,28.4,25.3,25.3,-,-,-,-,-,-,-,-
10/1/1998,225428,133839,101990,91844,30.3,28.4,24.9,25.4,-,-,-,-,-,-,-,-
11/1/1998,225927,134036,101945,91965,30.4,28.4,24.9,25.4,-,-,-,-,-,-,-,-
12/1/1998,221985,134030,103013,92440,29.9,28.4,25.2,25.5,-,-,-,-,-,-,-,-
1/1/1999,226545,134708,103316,93692,30.5,28.5,25.3,25.9,-,-,-,-,-,-,-,-
2/1/1999,225504,134203,102843,93355,30.3,28.4,25.1,25.8,-,-,-,-,-,-,-,-
3/1/1999,227657,136004,105074,95485,30.6,28.8,25.7,26.4,-,-,-,-,-,-,-,-
4/1/1999,232531,138706,108147,96874,31.3,29.4,26.4,26.8,-,-,-,-,-,-,-,-
5/1/1999,232262,139800,109229,99033,31.2,29.6,26.7,27.4,-,-,-,-,-,-,-,-
6/1/1999,240343,143345,111644,100255,32.3,30.4,27.3,27.7,-,-,-,-,-,-,-,-
7/1/1999,249454,147256,115453,103599,33.6,31.2,28.2,28.6,-,-,-,-,-,-,-,-
8/1/1999,252272,149578,117728,105931,33.9,31.7,28.8,29.3,-,-,-,-,-,-,-,-
9/1/1999,260347,152521,119663,109954,35,32.3,29.3,30.4,-,-,-,-,-,-,-,-
10/1/1999,261720,154879,119887,109870,35.2,32.8,29.3,30.4,-,-,-,-,-,-,-,-
11/1/1999,267166,158051,123329,111981,35.9,33.5,30.2,30.9,-,-,-,-,-,-,-,-
12/1/1999,265355,159147,124726,115071,35.7,33.7,30.5,31.8,-,-,-,-,-,-,-,-
1/1/2000,280980,165413,127833,115506,37.8,35.1,31.3,31.9,-,-,-,-,-,-,-,-
2/1/2000,279796,165391,129708,118641,37.6,35,31.7,32.8,-,-,-,-,-,-,-,-
3/1/2000,284608,168433,131957,119340,38.3,35.7,32.3,33,-,-,-,-,-,-,-,-
4/1/2000,293946,174235,136659,126608,39.5,36.9,33.4,35,-,-,-,-,-,-,-,-
5/1/2000,297670,176792,137401,125794,40,37.5,33.6,34.8,-,-,-,-,-,-,-,-
6/1/2000,298774,179057,139575,128870,40.2,37.9,34.1,35.6,-,-,-,-,-,-,-,-
7/1/2000,313017,183384,142702,130434,42.1,38.9,34.9,36,-,-,-,-,-,-,-,-
8/1/2000,311885,184296,142302,132453,41.9,39.1,34.8,36.6,-,-,-,-,-,-,-,-
9/1/2000,314775,183347,142656,132409,42.3,38.9,34.9,36.6,-,-,-,-,-,-,-,-
10/1/2000,314817,184698,141042,129962,42.3,39.1,34.5,35.9,-,-,-,-,-,-,-,-
11/1/2000,314211,182742,141687,133810,42.3,38.7,34.6,37,-,-,-,-,-,-,-,-
12/1/2000,307562,182542,141993,133575,41.4,38.7,34.7,36.9,-,-,-,-,-,-,-,-
1/1/2001,313677,185344,144786,134820,42.2,39.3,35.4,37.3,-,-,-,-,-,-,-,-
2/1/2001,316859,187191,145438,134244,42.6,39.7,35.6,37.1,-,-,-,-,-,-,-,-
3/1/2001,312590,186613,146149,136351,42,39.5,35.7,37.7,-,-,-,-,-,-,-,-
4/1/2001,317568,187982,148477,137996,42.7,39.8,36.3,38.1,-,-,-,-,-,-,-,-
5/1/2001,320126,192150,152402,142572,43.1,40.7,37.3,39.4,-,-,-,-,-,-,-,-
6/1/2001,321946,193754,152838,144946,43.3,41.1,37.4,40.1,-,-,-,-,-,-,-,-
7/1/2001,337102,199554,156018,145315,45.3,42.3,38.2,40.2,-,-,-,-,-,-,-,-
8/1/2001,340860,201833,159357,149188,45.8,42.8,39,41.2,-,-,-,-,-,-,-,-
9/1/2001,344116,202792,159498,149093,46.3,43,39,41.2,-,-,-,-,-,-,-,-
10/1/2001,348354,205977,161134,149680,46.9,43.6,39.4,41.4,-,-,-,-,-,-,-,-
11/1/2001,346501,206766,161179,151527,46.6,43.8,39.4,41.9,-,-,-,-,-,-,-,-
12/1/2001,340664,205384,160381,153617,45.8,43.5,39.2,42.5,-,-,-,-,-,-,-,-
1/1/2002,352528,210722,163445,153883,47.4,44.7,40,42.5,-,-,-,-,-,-,-,-
2/1/2002,347520,209278,164721,154884,46.7,44.3,40.3,42.8,-,-,-,-,-,-,-,-
3/1/2002,351801,211962,166555,157187,47.3,44.9,40.7,43.4,-,-,-,-,-,-,-,-
4/1/2002,359916,217092,170602,163549,48.4,46,41.7,45.2,-,-,-,-,-,-,-,-
5/1/2002,367527,223779,175772,166997,49.4,47.4,43,46.2,-,-,-,-,-,-,-,-
6/1/2002,369726,224529,178283,171396,49.7,47.6,43.6,47.4,-,-,-,-,-,-,-,-
7/1/2002,389899,233908,184737,173793,52.4,49.6,45.2,48,-,-,-,-,-,-,-,-
8/1/2002,394662,239197,189142,177432,53.1,50.7,46.3,49,-,-,-,-,-,-,-,-
9/1/2002,399194,242636,190416,178855,53.7,51.4,46.6,49.4,-,-,-,-,-,-,-,-
10/1/2002,404694,246998,192683,179988,54.4,52.3,47.1,49.7,-,-,-,-,-,-,-,-
11/1/2002,412507,248842,195211,184228,55.5,52.7,47.7,50.9,-,-,-,-,-,-,-,-
12/1/2002,407963,252359,196414,184471,54.9,53.5,48,51,-,-,-,-,-,-,-,-
1/1/2003,419137,254641,202041,186926,56.4,54,49.4,51.7,-,-,-,-,-,-,-,-
2/1/2003,414982,256602,200114,186523,55.8,54.4,48.9,51.5,-,-,-,-,-,-,-,-
3/1/2003,415288,255085,199740,185407,55.9,54.1,48.8,51.2,-,-,-,-,-,-,-,-
4/1/2003,415921,258067,201120,188347,55.9,54.7,49.2,52.1,-,-,-,-,-,-,-,-
5/1/2003,418968,261553,205740,189359,56.4,55.4,50.3,52.3,-,-,-,-,-,-,-,-
6/1/2003,417655,259215,202891,188717,56.2,54.9,49.6,52.2,-,-,-,-,-,-,-,-
7/1/2003,426441,266051,208794,192154,57.4,56.4,51.1,53.1,-,-,-,-,-,-,-,-
8/1/2003,423770,264469,208159,190918,57,56,50.9,52.8,-,-,-,-,-,-,-,-
9/1/2003,428779,266092,208553,190449,57.7,56.4,51,52.6,-,-,-,-,-,-,-,-
10/1/2003,427660,267387,210387,192263,57.5,56.7,51.4,53.1,-,-,-,-,-,-,-,-
11/1/2003,425184,267314,211536,193463,57.2,56.6,51.7,53.5,-,-,-,-,-,-,-,-
12/1/2003,420852,267879,211690,196159,56.6,56.8,51.8,54.2,-,-,-,-,-,-,-,-
1/1/2004,434342,271332,214541,196490,58.4,57.5,52.5,54.3,-,-,-,-,-,-,-,-
2/1/2004,434984,273084,216428,196693,58.5,57.9,52.9,54.4,-,-,-,-,-,-,-,-
3/1/2004,432135,271383,217492,199326,58.1,57.5,53.2,55.1,-,-,-,-,-,-,-,-
4/1/2004,435578,278620,223420,202365,58.6,59,54.6,55.9,-,-,-,-,-,-,-,-
5/1/2004,430197,279298,224193,204628,57.9,59.2,54.8,56.6,-,-,-,-,-,-,-,-
6/1/2004,438283,281838,225947,207895,59,59.7,55.3,57.5,-,-,-,-,-,-,-,-
7/1/2004,447529,288388,231683,209501,60.2,61.1,56.7,57.9,-,-,-,-,-,-,-,-
8/1/2004,452951,288655,232422,210563,60.9,61.2,56.8,58.2,-,-,-,-,-,-,-,-
9/1/2004,451595,288161,231902,209748,60.7,61.1,56.7,58,-,-,-,-,-,-,-,-
10/1/2004,448530,286511,230059,207943,60.3,60.7,56.3,57.5,-,-,-,-,-,-,-,-
11/1/2004,449256,287896,231718,211065,60.4,61,56.7,58.3,-,-,-,-,-,-,-,-
12/1/2004,441332,282435,227556,206756,59.4,59.9,55.6,57.1,-,-,-,-,-,-,-,-
1/1/2005,448212,284417,230578,208376,60.3,60.3,56.4,57.6,"236,191","145,913","119,750","127,018",82.1,81.6,77.5,73.8
2/1/2005,442730,283523,229239,207548,59.5,60.1,56.1,57.4,"234,509","146,578","119,434","127,046",81.5,82,77.3,73.8
3/1/2005,440100,282278,229777,207511,59.2,59.8,56.2,57.3,"235,038","147,324","120,943","128,372",81.7,82.4,78.3,74.6
4/1/2005,443176,286920,234290,211199,59.6,60.8,57.3,58.4,"236,330","149,615","122,906","130,545",82.1,83.7,79.6,75.8
5/1/2005,447963,288344,233940,211479,60.3,61.1,57.2,58.4,"240,601","150,580","124,215","131,826",83.6,84.2,80.4,76.6
6/1/2005,443028,287519,235917,211100,59.6,60.9,57.7,58.3,"239,089","151,657","126,133","133,124",83.1,84.8,81.7,77.3
7/1/2005,449202,290947,237279,212892,60.4,61.7,58,58.8,"244,141","154,293","127,393","133,758",84.9,86.3,82.5,77.7
8/1/2005,449857,288600,237217,213620,60.5,61.2,58,59,"246,629","153,880","128,019","134,530",85.7,86.1,82.9,78.2
9/1/2005,451638,290297,237361,211176,60.7,61.5,58,58.4,"244,951","153,647","128,512","133,820",85.1,85.9,83.2,77.7
10/1/2005,442924,286183,234167,209507,59.6,60.6,57.3,57.9,"244,596","153,722","127,976","133,529",85,86,82.9,77.6
11/1/2005,445427,288242,236536,211694,59.9,61.1,57.8,58.5,"244,936","154,068","128,414","134,133",85.1,86.2,83.1,77.9
12/1/2005,438936,285358,237127,215567,59,60.5,58,59.6,"242,343","153,914","129,718","136,871",84.2,86.1,84,79.5
1/1/2006,454025,291590,240015,214584,61.1,61.8,58.7,59.3,"244,844","154,122","129,002","135,909",85.1,86.2,83.5,79
2/1/2006,448642,289915,238395,214773,60.3,61.4,58.3,59.4,"243,243","154,159","129,318","137,211",84.5,86.2,83.7,79.7
3/1/2006,454096,292056,241348,216507,61.1,61.9,59,59.8,"245,956","155,563","130,386","137,740",85.5,87,84.4,80
4/1/2006,455431,296200,245745,220453,61.3,62.8,60.1,60.9,"249,485","159,151","133,945","140,314",86.7,89,86.7,81.5
5/1/2006,460366,297797,247011,223018,61.9,63.1,60.4,61.6,"252,502","160,241","134,568","142,780",87.8,89.6,87.1,83
6/1/2006,465913,301279,251705,226295,62.7,63.8,61.5,62.5,"252,748","161,638","136,637","144,114",87.8,90.4,88.5,83.7
7/1/2006,473171,306203,255910,226972,63.6,64.9,62.6,62.7,"258,352","163,934","139,157","144,386",89.8,91.7,90.1,83.9
8/1/2006,478540,308896,257927,230115,64.4,65.5,63.1,63.6,"261,682","165,273","139,870","145,759",90.9,92.4,90.6,84.7
9/1/2006,483177,310130,257836,231214,65,65.7,63,63.9,"262,324","165,909","140,269","146,869",91.2,92.8,90.8,85.3
10/1/2006,483203,311206,259231,233036,65,65.9,63.4,64.4,"263,693","166,832","141,278","147,609",91.6,93.3,91.5,85.8
11/1/2006,484883,312651,260129,231582,65.2,66.3,63.6,64,"265,290","168,046","142,103","147,708",92.2,94,92,85.8
12/1/2006,491261,316458,264717,238180,66.1,67.1,64.7,65.8,"264,999","169,329","144,505","151,264",92.1,94.7,93.6,87.9
1/1/2007,496475,319628,268351,240937,66.8,67.7,65.6,66.6,"268,186","169,496","144,185","150,639",93.2,94.8,93.3,87.5
2/1/2007,501729,322708,269149,245120,67.5,68.4,65.8,67.7,"267,642","169,788","144,010","152,704",93,95,93.2,88.7
3/1/2007,506544,325473,274191,246442,68.1,69,67,68.1,"269,178","170,921","146,113","152,908",93.6,95.6,94.6,88.8
4/1/2007,512600,330825,280670,251019,68.9,70.1,68.6,69.4,"273,582","174,013","149,342","156,410",95.1,97.3,96.7,90.9
5/1/2007,515304,334101,282458,256149,69.3,70.8,69.1,70.8,"275,810","175,564","150,441","159,937",95.9,98.2,97.4,92.9
6/1/2007,524980,337493,285874,258918,70.6,71.5,69.9,71.6,"279,156","177,260","152,369","161,353",97,99.1,98.6,93.7
7/1/2007,547759,350983,296015,266890,73.7,74.4,72.4,73.8,"285,684","179,325","153,994","162,554",99.3,100.3,99.7,94.4
8/1/2007,546248,350162,298971,269035,73.5,74.2,73.1,74.4,"287,929","180,401","155,100","162,878",100.1,100.9,100.4,94.6
9/1/2007,552891,351709,297548,270506,74.4,74.5,72.8,74.8,"288,381","180,270","154,741","164,251",100.2,100.8,100.2,95.4
10/1/2007,555873,351538,297591,270658,74.8,74.5,72.8,74.8,"288,223","179,621","154,398","163,837",100.2,100.5,100,95.2
11/1/2007,560486,354894,296952,268479,75.4,75.2,72.6,74.2,"288,470","179,951","153,793","163,900",100.3,100.7,99.6,95.2
12/1/2007,551709,352333,296305,270329,74.2,74.7,72.5,74.7,"285,242","179,364","154,082","164,472",99.1,100.3,99.8,95.6
1/1/2008,562436,354015,298254,269578,75.7,75,72.9,74.5,"280,201","175,565","150,959","164,580",97.4,98.2,97.7,95.6
2/1/2008,552961,351217,294639,267322,74.4,74.4,72,73.9,"277,037","174,660","149,627","162,953",96.3,97.7,96.9,94.7
3/1/2008,547952,349568,294811,264226,73.7,74.1,72.1,73,"273,984","173,965","149,155","160,801",95.2,97.3,96.6,93.4
4/1/2008,557690,349515,294697,265191,75,74.1,72.1,73.3,"275,418","173,450","149,733","160,963",95.7,97,96.9,93.5
